Asset ID,Original Filename (pre-migration),Current Filename,Dimensions,Format,Size (KB),Ref Count,Referenced By (type: title [slug]),Status
image-bd42516c6b0f5100131c1409aaa24d0c90128c35-138x1024-png,cs-bareminerals-references-chart.png,cs-bareminerals-references-chart.png,138x1024,png,49,1,article: Lessons from Replacing Oracle ATG/BCC with a Headless CMS [/lessons-from-replacing-oracle-atg-bcc-with-a-headless-cms],OK
image-e6d469439b843c74eedfa0df69298cf42236c67b-1024x406-png,cs-bareminerals-screenshot.png,cs-bareminerals-screenshot.png,1024x406,png,35,1,article: Oh; oh… Atomic: CMS and Design Systems 4evar [/why-cms-and-design-systems-belong-together],OK
image-93d1977eec08b974ff5f9d561307d85903fe866c-2500x1441-webp,cs-beringer-homepage-redesign.webp,cs-beringer-homepage-redesign.webp,2500x1441,webp,352,1,caseStudy: Beringer.com: Raising a Glass to a Digital Refresh [/beringer-com-raising-a-glass-to-a-digital-refresh],OK
image-6a313f3a6dd32351c5eec357d2fe33a953f2791a-2431x1072-jpg,cs-fx-networks-featured.webp,cs-fx-networks-featured.webp,2431x1072,jpg,378,1,caseStudy: FX Networks Website Redesign: Nominated for Webby! [/fx-networks-website-redesign-nominated-for-webby],OK
image-360d6f4351e2242bda6107a773f6cf6b2f78683d-1024x817-webp,cs-lyris-landing-pages.webp,cs-lyris-landing-pages.webp,1024x817,webp,446,1,caseStudy: Launching Lunar Landing [/launching-lunar-landing],OK
image-b38a894e86773a1488a66137e8362f50070086b0-817x602-png,cs-prestige-beauty-design-system.png,cs-prestige-beauty-design-system.png,817x602,png,655,1,caseStudy: Prestige Beauty Pilot — Headless CMS + Enterprise Design System [/prestige-beauty-pilot-headless-cms-enterprise-design-system],OK
image-7bf47353614ec2868a912c700a83b2566f95f924-2264x943-png,cs-prestige-beauty-tfb-light.png,cs-prestige-beauty-tfb-light.png,2264x943,png,2719,2,article: Oh; oh… Atomic: CMS and Design Systems 4evar [/why-cms-and-design-systems-belong-together] | caseStudy: Prestige Beauty Pilot — Headless CMS + Enterprise Design System [/prestige-beauty-pilot-headless-cms-enterprise-design-system],OK
image-59e90f0676ddecd217086a9cecf8f72733f4aaec-781x554-svg,diagram-knowledge-graph-dark.svg,diagram-knowledge-graph-dark.svg,781x554,svg,57,1,node: Visualizing the Knowledge Graph [/visualizing-the-knowledge-graph],OK
image-9d2336a3e4b6a6bd7d0adb781b6abd449231d3ae-1024x1024-png,site-about-illustration.png,site-about-illustration.png,1024x1024,png,1957,1,page: About [/about],OK
image-e54263f6b49fdd2b62d78a3fbee39a24c78f2c5a-1024x514-jpg,site-beckyalice-banner.webp,site-beckyalice-banner.webp,1024x514,jpg,72,1,article: Dashboards Aren’t Dead. Neither Are Design Systems. We Just Stopped Explaining Them Slowly Enough. [/dashboards-arent-dead-neither-are-design-systems],OK
image-b421ea9b522b69b04315a3eac074cef97e53461e-466x331-jpg,site-beckyalice-headshot.webp,site-beckyalice-headshot.webp,466x331,jpg,20,2,archivePage: Articles [/articles] | archivePage: Articles [/articles],OK
image-966fc979f778d35e5670dc259ec4474abb4a1404-753x364-png,site-beckyalice-hero-2004.png,site-beckyalice-hero-2004.png,753x364,png,465,2,hero: (untitled) | hero: (untitled),OK
image-df496cd9ecd7a31a4342830dbb0f4f2f3cb05f26-300x377-png,site-beelady-avatar-sm.png,site-beelady-avatar-sm.png,300x377,png,53,1,archivePage: Knowledge Graph [/knowledge-graph],OK
image-07c66211aa101f34172c5cea9ab02f2b34ee6fba-1024x1536-png,site-beelady-avatar.png,site-beelady-avatar.png,1024x1536,png,1595,1,person: (untitled) [/beehead],OK
image-acade2475d6fe5476bd7a95d2aebfd5da53043f0-450x450-png,site-beelady-favicon.png,site-beelady-favicon.png,450x450,png,397,1,siteSettings: (untitled),OK
image-a685f8d3aa4c29bd461323fa90a2fad6b42d615a-1024x1536-png,site-beelady-full-transparent.png,site-beelady-full-transparent.png,1024x1536,png,2459,1,article: Oh; oh… Atomic: CMS and Design Systems 4evar [/why-cms-and-design-systems-belong-together],OK
image-4abdf220948a5eb7101b273d3f7eb8862437ac67-683x1024-png,site-beelady-transparent-sm.png,site-beelady-transparent-sm.png,683x1024,png,271,2,siteSettings: (untitled) | article: Dashboards Aren’t Dead. Neither Are Design Systems. We Just Stopped Explaining Them Slowly Enough. [/dashboards-arent-dead-neither-are-design-systems],OK
image-238cbba618c687e6d4f17217dd2d66e5f7e47ad5-1024x1536-png,site-illustration-portrait-2.png,site-illustration-portrait-2.png,1024x1536,png,3199,1,siteSettings: (untitled),OK
image-d25c51b4126def2a72be61213f4fe69a909151fd-6000x4500-jpg,site-retro-desk-1.webp,site-retro-desk-1.webp,6000x4500,jpg,479,2,node: The Seafoam That Should Have Been Lime: Guardrails for Component Reuse [/seafoam-vs-lime-component-reuse-guardrails] | page: Atoms &amp; Ecosystems [/home],OK
image-571d156d28393fb9806756bb37d18a32cd07fdba-6000x4000-jpg,site-retro-desk-2.webp,site-retro-desk-2.webp,6000x4000,jpg,413,1,page: Atoms &amp; Ecosystems [/home],OK
image-98246b3c6b5a759d9cef6b64d24c888901e5d075-6000x4000-jpg,site-retro-desk-3.webp,site-retro-desk-3.webp,6000x4000,jpg,468,2,article: Test Preview Post [/test-preview-post] | page: Atoms &amp; Ecosystems [/home],OK
image-cf4f583d1eff5dcf2c90e3959cf28b1ac48ff940-6000x4000-jpg,site-retro-desk-4.webp,site-retro-desk-4.webp,6000x4000,jpg,383,2,article: Test Preview Post [/test-preview-post] | page: CV / Resume [/cv-resume],OK
image-fa6f97f14153a905916e572de10edb877eac7f45-6000x4000-jpg,site-retro-desk-5.webp,site-retro-desk-5.webp,6000x4000,jpg,386,4,node: Release Governance: Storybook Smoke Check for Design System Changes [/release-governance-storybook-smoke-check-design-system] | article: Test Preview Post [/test-preview-post] | caseStudy: FX Networks Website Redesign: Nominated for Webby! [/fx-networks-website-redesign-nominated-for-webby] | page: Atoms &amp; Ecosystems [/home],OK
image-ae7a950a812e5f92ec7a3cb5f210de33e5eeaf08-6000x4000-jpg,site-retro-desk-7.webp,site-retro-desk-7.webp,6000x4000,jpg,350,2,article: Test Preview Post [/test-preview-post] | node: The Seafoam That Should Have Been Lime: Guardrails for Component Reuse [/seafoam-vs-lime-component-reuse-guardrails],OK
image-5fae24a2651ef9a67b716bf14c6ede64b87d3432-6000x4000-jpg,site-retro-desk-8.webp,site-retro-desk-8.webp,6000x4000,jpg,439,1,node: The Seafoam That Should Have Been Lime: Guardrails for Component Reuse [/seafoam-vs-lime-component-reuse-guardrails],OK
image-a52fe5565d8380b786311f7823deb5018f471a4a-1195x507-png,site-sugartown-logo-light.png,site-sugartown-logo-light.png,1195x507,png,48,1,header: (untitled),OK
image-1a3444ae81dee63959d0386215aba2676f1979f4-780x317-png,site-sugartown-logo.png,site-sugartown-logo.png,780x317,png,55,1,siteSettings: (untitled),OK
